Competition,Date,Matchday,HomeTeam,AwayTeam,HomeScore,AwayScore,Result
La Liga,2025-08-16,1,Mallorca,Barcelona,0,3,W
La Liga,2025-08-23,2,Levante,Barcelona,2,3,W
La Liga,2025-08-31,3,Rayo Vallecano,Barcelona,1,1,D
La Liga,2025-09-14,4,Barcelona,Valencia,6,0,W
La Liga,2025-09-21,5,Barcelona,Getafe,3,0,W
La Liga,2025-09-25,6,Oviedo,Barcelona,1,3,W
La Liga,2025-09-28,7,Barcelona,Real Sociedad,2,1,W
La Liga,2025-10-05,8,Sevilla,Barcelona,4,1,L
La Liga,2025-10-18,9,Barcelona,Girona,2,1,W
La Liga,2025-10-26,10,Real Madrid,Barcelona,2,1,L
La Liga,2025-11-02,11,Barcelona,Elche,3,1,W
La Liga,2025-11-09,12,Celta Vigo,Barcelona,2,4,W
La Liga,2025-11-22,13,Barcelona,Athletic Bilbao,4,0,W
La Liga,2025-11-29,14,Barcelona,Alavés,3,1,W
La Liga,2025-12-02,19,Barcelona,Atlético Madrid,3,1,W
La Liga,2025-12-06,15,Real Betis,Barcelona,3,5,W
La Liga,2025-12-13,16,Barcelona,Osasuna,2,0,W
La Liga,2025-12-21,17,Villarreal,Barcelona,0,2,W
La Liga,2026-01-03,18,Espanyol,Barcelona,0,2,W
La Liga,2026-01-18,20,Real Sociedad,Barcelona,2,1,L
La Liga,2026-01-25,21,Barcelona,Oviedo,3,0,W
La Liga,2026-01-31,22,Elche,Barcelona,1,3,W
La Liga,2026-02-07,23,Barcelona,Mallorca,3,0,W
La Liga,2026-02-16,24,Girona,Barcelona,2,1,L
La Liga,2026-02-22,25,Barcelona,Levante,3,0,W
La Liga,2026-02-28,26,Barcelona,Villarreal,4,1,W
La Liga,2026-03-07,27,Athletic Bilbao,Barcelona,0,1,W
La Liga,2026-03-15,28,Barcelona,Sevilla,Pending,Pending,Pending
La Liga,2026-04-05,30,Atlético Madrid,Barcelona,Pending,Pending,Pending
La Liga,2026-05-13,36,Alavés,Barcelona,Pending,Pending,Pending
Copa del Rey,2025-12-16,R32,Guadalajara,Barcelona,0,2,W
Copa del Rey,2026-01-15,R16,Racing Santander,Barcelona,0,2,W
Copa del Rey,2026-02-03,QF,Albacete,Barcelona,1,2,W
Copa del Rey,2026-02-12,SF1,Atlético Madrid,Barcelona,4,0,L
Copa del Rey,2026-03-03,SF2,Barcelona,Atlético Madrid,3,0,W
Supercopa,2026-01-07,SF,Barcelona,Athletic Bilbao,5,0,W
Supercopa,2026-01-11,Final,Barcelona,Real Madrid,3,2,W
Champions League,2025-09-18,1,Newcastle United,Barcelona,1,2,W
Champions League,2025-10-01,2,Barcelona,Paris Saint-Germain,1,2,L
Champions League,2025-10-21,3,Barcelona,Club Brugge,6,1,W
Champions League,2025-11-05,4,Club Brugge,Barcelona,3,3,D
Champions League,2025-11-25,5,Chelsea,Barcelona,3,0,L
Champions League,2025-12-09,6,Barcelona,Eintracht Frankfurt,2,1,W
Champions League,2026-01-21,7,Slavia Prague,Barcelona,2,4,W
Champions League,2026-01-28,8,Barcelona,Inter Milan,4,1,W
Champions League,2026-03-10,R16-1,Newcastle United,Barcelona,1,1,D
Champions League,2026-03-18,R16-2,Barcelona,Newcastle United,Pending,Pending,Pending
Friendly,2025-07-27,Pre,Vissel Kobe,Barcelona,1,3,W
Friendly,2025-07-31,Pre,FC Seoul,Barcelona,3,7,W
Friendly,2025-08-04,Pre,Daegu FC,Barcelona,0,5,W
Friendly,2025-08-10,Pre,Barcelona,Como,5,0,W
